Time; CANALE SAN MICHELE - (FLOW_ACU_TOTAL) Current Volume for Season (m3) ;note
18.09.2019 09:09:49; 1 908 916,81 ;data ibernazione, al termine stagione irrigua 2019
14.04.2020 09:25:34; 1 934 549,08 ;Data riattivazione stagione irrigua 2020
17.04.2020 05:49:35; 1 966 835,68 ;
17.04.2020 05:50:36; 1 966 844,82 ;
17.04.2020 06:19:33; 1 967 108,62 ;
17.04.2020 06:20:35; 1 967 117,77 ;
17.04.2020 08:15:16; 1 968 156,22 ;
17.04.2020 08:16:18; 1 968 165,32 ;
04.05.2020 18:50:56; 2 027 948,01 ;
04.05.2020 18:51:58; 2 027 954,11 ;
04.05.2020 20:46:10; 2 028 643,71 ;
04.05.2020 20:47:11; 2 028 649,81 ;
04.05.2020 22:50:08; 2 029 394,51 ;
04.05.2020 22:51:10; 2 029 400,51 ;
12.05.2020 07:56:42; 2 091 391,41 ;
12.05.2020 07:57:43; 2 091 397,71 ;
12.05.2020 09:34:20; 2 092 008,41 ;
12.05.2020 09:35:23; 2 092 014,81 ;
12.05.2020 10:37:22; 2 092 408,21 ;
12.05.2020 10:38:24; 2 092 414,61 ;
16.05.2020 20:08:17; 2 156 722,41 ;
16.05.2020 20:09:19; 2 156 737,01 ;
16.05.2020 20:25:51; 2 156 971,21 ;
16.05.2020 20:26:54; 2 156 986,01 ;
16.05.2020 20:46:31; 2 157 276,41 ;
16.05.2020 20:47:33; 2 157 290,71 ;
20.05.2020 12:44:07; 2 223 698,21 ;
20.05.2020 12:45:09; 2 223 709,61 ;
20.05.2020 13:00:39; 2 223 894,41 ;
20.05.2020 13:01:41; 2 223 906,11 ;
20.05.2020 13:20:17; 2 224 115,01 ;
20.05.2020 13:21:19; 2 224 126,61 ;
25.05.2020 07:41:44; 2 292 689,91 ;
25.05.2020 07:42:47; 2 292 697,71 ;
25.05.2020 07:58:17; 2 292 822,21 ;
25.05.2020 07:59:18; 2 292 830,01 ;
25.05.2020 08:18:57; 2 292 978,01 ;
25.05.2020 08:19:59; 2 292 985,81 ;
01.06.2020 18:48:55; 2 363 742,21 ;
01.06.2020 18:49:58; 2 363 753,71 ;
01.06.2020 18:52:02; 2 363 776,41 ;
01.06.2020 18:53:04; 2 363 788,11 ;
01.06.2020 19:06:29; 2 363 938,81 ;
01.06.2020 19:07:32; 2 363 950,21 ;
24.06.2020 12:56:01; 2 436 889,69 ;
24.06.2020 12:57:01; 2 436 892,75 ;
24.06.2020 13:44:33; 2 437 044,03 ;
24.06.2020 13:45:36; 2 437 047,22 ;
24.06.2020 14:02:07; 2 437 098,90 ;
24.06.2020 14:03:10; 2 437 105,45 ;
30.06.2020 07:56:12; 2 512 427,51 ;
30.06.2020 07:57:13; 2 512 438,81 ;
30.06.2020 07:58:15; 2 512 450,11 ;
30.06.2020 07:59:18; 2 512 461,51 ;
30.06.2020 08:01:22; 2 512 495,51 ;
30.06.2020 08:02:23; 2 512 506,91 ;
14.07.2020 14:18:15; 2 590 162,41 ;
14.07.2020 14:19:18; 2 590 171,41 ;
14.07.2020 14:21:21; 2 590 189,31 ;
14.07.2020 14:22:22; 2 590 198,21 ;
14.07.2020 14:25:29; 2 590 225,21 ;
14.07.2020 14:26:32; 2 590 243,01 ;
21.07.2020 11:40:15; 2 670 314,21 ;
21.07.2020 11:41:16; 2 670 324,11 ;
21.07.2020 11:42:18; 2 670 334,11 ;
21.07.2020 11:43:20; 2 670 343,91 ;
21.07.2020 11:44:21; 2 670 353,81 ;
21.07.2020 11:45:24; 2 670 363,61 ;
16.08.2020 12:40:44; 2 752 928,31 ;
16.08.2020 12:41:46; 2 752 931,01 ;
16.08.2020 12:44:52; 2 752 938,81 ;
16.08.2020 12:45:53; 2 752 941,41 ;
16.08.2020 12:50:02; 2 752 951,81 ;
16.08.2020 12:51:04; 2 752 954,51 ;
17.09.2020 22:34:03; 2 838 084,11 ;
;;
Volume irriguo stagionale 2020; 903 535,03 ;
